node,type,value
I1,input,1
I2,input,0
M1,meta,True
I3,input,0
I4,input,0
M2,meta,True
I5,input,0
M3,meta,True
MM0,meta-meta,True
I6,input,0
M4,meta,True
I7,input,0
M5,meta,True
I8,input,1
M6,meta,False
MM1,meta-meta,True
I9,input,1
M7,meta,True
I10,input,1
M8,meta,True
I11,input,0
M9,meta,False
MM2,meta-meta,True
I12,input,0
M10,meta,True
I13,input,1
M11,meta,False
I14,input,1
M12,meta,True
MM3,meta-meta,True
I15,input,1
M13,meta,True
I16,input,0
M14,meta,False
I17,input,0
M15,meta,True
MM4,meta-meta,True
